service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20161211,20171209
2,1,1,1,1,1,1,1,20161211,20171209
3,1,1,1,1,1,0,0,20161211,20171209
4,1,1,1,1,1,0,0,20161211,20171209
5,1,1,1,1,1,0,0,20161211,20171209
6,1,1,1,1,1,0,0,20161211,20171209
7,1,1,1,1,1,1,1,20161211,20171209
8,1,1,1,1,1,0,0,20161211,20171209
9,1,1,1,1,1,0,0,20161211,20171209
10,1,1,1,1,1,0,0,20161211,20171209
11,1,1,1,1,1,0,0,20161211,20171209
12,1,1,1,1,1,0,0,20161211,20171209
13,1,1,1,1,1,0,0,20161211,20171209
14,1,1,1,1,1,0,0,20161211,20171209
15,1,1,1,1,1,1,1,20161211,20171209
16,0,0,0,0,0,0,0,20161211,20171209
17,1,1,1,1,1,1,1,20161211,20171209
18,1,1,1,1,1,0,0,20161211,20171209
19,0,0,0,0,1,1,1,20161211,20171209
20,1,1,1,1,1,0,0,20161211,20171209
21,1,0,0,0,0,1,1,20161211,20171209
22,0,0,0,0,0,0,1,20161211,20171209
23,0,0,0,0,0,1,0,20161211,20171209
24,1,1,1,1,1,1,1,20161211,20171209
25,1,1,1,1,1,1,1,20161211,20171209
26,1,1,1,1,1,0,1,20161211,20171209
27,1,1,1,1,1,0,1,20161211,20171209
28,1,1,1,1,1,0,0,20161211,20171209
29,1,1,1,1,1,0,0,20161211,20171209
30,1,1,1,1,1,1,0,20161211,20171209
31,1,1,1,1,1,0,0,20161211,20171209
32,1,1,1,1,1,0,1,20161211,20171209
33,1,1,1,1,1,1,0,20161211,20171209
34,1,1,1,1,1,0,0,20161211,20171209
35,1,1,1,1,1,1,1,20161211,20171209
36,0,0,0,0,0,1,0,20161211,20171209
37,0,0,0,0,0,0,1,20161211,20171209
38,1,1,1,1,1,1,1,20161211,20171209
39,1,1,1,1,1,1,1,20161211,20171209
40,1,1,1,1,1,1,1,20161211,20171209
41,1,1,1,1,1,1,1,20161211,20171209
42,1,1,1,1,1,1,1,20161211,20171209
43,1,0,1,1,1,1,1,20161211,20171209
44,1,1,1,1,1,1,1,20161211,20171209
45,1,1,1,1,1,1,1,20161211,20171209
46,1,1,1,1,0,1,1,20161211,20171209
47,1,1,1,1,1,0,0,20161211,20171209
48,1,1,1,1,1,1,1,20161211,20171209
49,1,1,1,1,1,0,1,20161211,20171209
50,1,1,1,1,1,1,1,20161211,20171209
51,1,1,1,1,1,1,1,20161211,20171209
52,1,1,1,1,1,1,1,20161211,20171209
53,1,1,1,1,1,1,1,20161211,20171209
54,1,1,1,1,1,1,1,20161211,20171209
55,1,1,1,1,1,1,1,20161211,20171209
56,1,1,1,1,1,0,0,20161211,20171209
57,1,1,1,1,1,1,1,20161211,20171209
58,1,1,1,1,1,0,1,20161211,20171209
59,0,1,0,0,0,0,0,20161211,20171209
60,1,1,1,1,1,1,1,20161211,20171209
61,1,1,1,1,1,1,1,20161211,20171209
62,1,1,1,1,1,1,1,20161211,20171209
63,1,1,1,1,1,0,0,20161211,20171209
64,1,1,1,1,1,0,1,20161211,20171209
65,1,1,1,1,1,1,1,20161211,20171209
66,1,1,1,1,1,1,0,20161211,20171209
67,1,1,1,1,1,0,1,20161211,20171209
68,1,1,1,1,1,1,1,20161211,20171209
69,1,1,1,1,1,0,1,20161211,20171209
70,1,1,1,1,1,1,1,20161211,20171209
71,0,0,0,0,0,0,1,20161211,20171209
72,1,1,1,1,1,1,1,20161211,20171209
73,0,1,0,0,0,1,0,20161211,20171209
74,1,1,1,1,1,0,0,20161211,20171209
75,1,1,1,1,1,0,0,20161211,20171209
76,1,1,1,1,1,1,1,20161211,20171209
77,1,1,1,1,1,0,0,20161211,20171209
78,1,1,1,1,1,1,0,20161211,20171209
79,1,1,1,1,1,1,1,20161211,20171209
80,1,1,1,1,1,1,1,20161211,20171209
81,1,1,1,1,0,1,1,20161211,20171209
82,1,1,1,1,1,0,0,20161211,20171209
83,0,0,0,0,0,1,0,20161211,20171209
84,1,1,1,1,1,1,0,20161211,20171209
85,1,1,1,1,1,0,0,20161211,20171209
86,1,1,1,1,1,0,1,20161211,20171209
87,1,1,1,1,1,1,0,20161211,20171209
88,1,1,1,1,1,1,0,20161211,20171209
89,1,1,1,1,1,1,1,20161211,20171209
90,1,1,1,1,1,0,0,20161211,20171209
91,0,0,0,0,0,1,1,20161211,20171209
92,1,1,1,1,1,1,0,20161211,20171209
93,1,1,1,1,1,1,1,20161211,20171209
94,1,1,1,1,0,1,1,20161211,20171209
95,1,1,1,1,1,0,1,20161211,20171209
96,0,0,0,0,0,1,1,20161211,20171209
97,0,0,0,0,0,1,0,20161211,20171209
98,1,1,1,1,1,0,1,20161211,20171209
99,1,1,1,1,1,1,1,20161211,20171209
100,1,1,1,1,1,0,0,20161211,20171209
101,1,0,0,1,0,0,0,20161211,20171209
102,1,1,1,1,1,1,1,20161211,20171209
103,1,1,1,1,1,0,1,20161211,20171209
104,0,1,1,1,1,0,0,20161211,20171209
105,1,1,1,1,1,1,1,20161211,20171209
106,0,0,0,0,0,0,0,20161211,20171209
107,1,1,1,1,1,0,1,20161211,20171209
108,1,1,1,1,1,1,1,20161211,20171209
109,1,1,1,1,1,0,0,20161211,20171209
110,1,1,1,1,1,1,0,20161211,20171209
111,1,1,1,1,1,1,1,20161211,20171209
112,1,1,1,1,1,0,0,20161211,20171209
113,1,1,1,1,1,0,1,20161211,20171209
114,1,1,1,1,1,1,1,20161211,20171209
115,1,1,1,1,1,1,1,20161211,20171209
116,1,1,1,1,1,0,0,20161211,20171209
117,1,1,1,1,1,0,0,20161211,20171209
118,1,1,1,1,1,0,0,20161211,20171209
119,1,1,1,1,1,1,1,20161211,20171209
120,1,1,1,1,1,1,1,20161211,20171209
121,1,1,1,1,1,1,1,20161211,20171209
122,1,1,1,1,1,1,1,20161211,20171209
123,1,1,1,1,1,0,0,20161211,20171209
124,1,1,1,1,1,0,0,20161211,20171209
125,1,0,0,0,0,0,0,20161211,20171209
126,1,1,1,1,1,0,0,20161211,20171209
127,1,1,1,1,1,1,1,20161211,20171209
128,1,1,1,1,1,1,1,20161211,20171209
129,1,1,1,1,1,1,1,20161211,20171209
130,1,1,1,1,1,0,0,20161211,20171209
131,1,1,1,1,1,1,1,20161211,20171209
132,1,1,1,1,1,1,1,20161211,20171209
133,1,1,1,1,1,1,1,20161211,20171209
134,0,1,1,1,1,1,0,20161211,20171209
135,1,1,1,1,1,0,0,20161211,20171209
136,0,0,0,0,0,1,0,20161211,20171209
137,1,1,1,1,1,1,1,20161211,20171209
138,1,1,1,1,1,0,0,20161211,20171209
139,1,1,1,1,1,1,1,20161211,20171209
140,1,1,1,1,1,0,0,20161211,20171209
141,1,1,1,1,1,0,0,20161211,20171209
142,0,0,0,0,0,1,0,20161211,20171209
