route_id,agency_id,route_short_name,route_long_name,route_type
1,236037, Holod - Vaşcău, Holod - Ginta h. - Căpâlna hc. - Suplacu de Tinca h. - Şoimi hc. - Urviş h. - Borz hc. - Uilacu Beiuş hc. - Ioaniş Hm. - Finiş hc. - Beiuş - Tărcaia h. - Sudrigiu Hm. - Rieni Bihor hc. - Ştei Hm. - Vaşcău,2
2,236037, Oradea - Holod, Oradea - Oradea Vest Hm. - Leş Bihor Hm. - Cefa Hm. - Mădăraş Bihor h. - Salonta - Ciumeghiu Hm. - Glad h. - Batăr h. - Tăut h. - Tinca Hm. - Râpa hc. - Dumbrava Bihor h. - Holod Vest Hm. - Holod,2
3,236037, Oradea - Cluj Napoca, Oradea - Oşorhei Hm. - Tileagd - Aleşd - Vadu Crişului Hm. - Şuncuiuş Hm. - Bratca - Bulz Hm. - Piatra Craiului Hm. - Negreni h. - Ciucea Hm. - Valea Drăganului h. - Poieni - Huedin - Aghireş h. - Aghireş - Gârbău Hm. - Cluj Napoca,2
4,236037, Marghita - Holod, Marghita - Petreu hc. - Abrămuţ hc. - Făncica h. - Bolcaş hc. - Târguşor Bihor h. - Săcuieni Bihor h. - Cadia h. - Diosig Hm. - Roşiori Bihor h. - Tămăşeu h. - Biharia Hm. - Episcopia Bihor - Oradea - Oradea Vest Hm. - Leş Bihor Hm. - Cefa Hm. - Mădăraş Bihor h. - Salonta - Ciumeghiu Hm. - Glad h. - Batăr h. - Tăut h. - Tinca Hm. - Râpa hc. - Dumbrava Bihor h. - Holod Vest Hm. - Holod,2
5,236037, Bistriţa Bârgăului hcv. - Bistriţa Nord, Bistriţa Bârgăului hcv. - Bistriţa Bârgăului h. - Bistriţa Bârgăului Sat hc. - Prundul Bârgaului hc. - Susenii Bârgăului Hm. - Mijlocenii Bârgăului h. - Josenii Bârgăului hc. - Rusul Bârgăului hc. - Livezile Bârgăului hc. - Bistriţa h. - Bistriţa Nord,2
6,236037, Câmpia Turzii - Cluj Napoca, Câmpia Turzii - Ploscoş h. - Valea Florilor Hm. - Boju - Tunel Hm. - Cojocna Hm. - Apahida - Cluj Napoca Est - Cluj Napoca,2
7,236037, Huedin - Cluj Napoca, Huedin - Stana Hm. - Gălăşeni h. - Aghireş h. - Aghireş - Dorolţu h. - Macău h. - Gârbău Hm. - Nădăşel h. - Mera Hm. - Rădaia h. - Suceag h. - Cluj Napoca,2
8,236037, Marghita - Sărmăşag, Marghita - Chiribiş hc. - Abrami h. - Marginea Bihor h. - Sădălbagiu hc. - Balc hc. - Suplacu de Barcău - Porţi hc. - Ipu h. - Nuşfalău h. - Măgura Şimleului hc. - Şimleu Silvaniei - Uilacu Şimleului hc. - Giurtelec hc. - Sărmăşag,2
9,236037, Sărmăşag - Marghita, Sărmăşag - Giurtelec hc. - Uilacu Şimleului hc. - Şimleu Silvaniei - Măgura Şimleului hc. - Nuşfalău h. - Ipu h. - Porţi hc. - Suplacu de Barcău - Balc hc. - Sădălbagiu hc. - Marginea Bihor h. - Abrami h. - Chiribiş hc. - Marghita,2
10,236037, Susenii Bârgăului Hm. - Bistriţa Bârgăului hcv., Susenii Bârgăului Hm. - Prundul Bârgaului hc. - Bistriţa Bârgăului h. - Bistriţa Bârgăului hcv.,2
