route_id,service_id,trip_id,trip_short_name
1,1,15804,R
1,1,15802,R
2,1,15814,R
3,2,15702,IR
4,1,15808,R
5,1,15829,R
6,3,15851,R
7,4,15842,R
8,1,15865,R
9,1,15872,R
10,1,15818,R
11,1,15864,R
12,2,15854,R
5,1,15825,R
5,1,15821,R
13,1,15831,R
12,2,15858,R
14,5,15815,R
15,6,15862,R
6,2,15857,R
16,1,15809,R
17,7,15828,R
18,1,15832,R
19,1,15803,R
20,1,15827,R
21,1,15816,R
2,1,15810,R
8,1,15867,R
8,1,15871,R
1,1,15800,R
22,8,15863,R
23,1,15877,R
24,1,15826,R
25,2,15843,R
26,9,15813,R
9,1,15868,R
24,1,15820,R
27,1,15870,R
28,1,15891,R
5,1,15819,R
24,1,15822,R
12,10,15852,R
29,11,15812,R
30,12,15860,R
9,1,15866,R
6,2,15853,R
31,1,15893-2,R
32,2,15703,IR
12,2,15856,R
7,2,15840,R
33,13,15849,R
8,7,15875,R
34,14,15850,R
35,15,15817,R
36,1,15830,R
37,2,15701,IR
6,2,15855,R
19,1,15801,R
38,1,15876,R
1,1,15806,R
19,1,15805,R
39,2,15844,R
40,12,15861,R
19,1,15807,R
8,1,15873,R
5,1,15823,R
35,1,15811,R
24,1,15824,R
41,2,15841,R
9,7,15874,R
42,2,15704,IR
13,1,15833,R
43,1,14712,R
44,1,14713,R
45,1,14817,R
46,1,14604,R
47,1,14985,R
48,1,18230,R
49,1,14508,R
50,1,14014,R
51,1,14552,R
52,1,14441,R
44,1,14709,R
53,1,14301,R
43,1,14706,R
44,16,18263,R
54,1,14306,R
55,1,14989,R
56,1,14323,R
57,1,14439,R
58,1,14298,R
59,1,14391,R
60,1,14735,R
61,1,18244,R
62,1,14675-2,R
63,1,14846,R
64,1,14759,R
52,1,14451,R
65,1,14015,R
66,1,14972,R
67,1,14505,R
68,1,14501,R
69,1,14609,R
62,1,14671-2,R
70,1,14806,R
54,1,14302,R
71,1,14035,R
72,1,14430,R
73,1,18236,R
74,17,14088,IR
75,1,18232,R
76,18,14813,R
65,1,14019,R
77,1,14327,R
78,1,14437,R
67,1,14513,R
72,1,14428,R
79,1,14600,R
44,1,14701,R
80,1,14971,R
81,1,14322,R
62,1,14677-2,R
82,19,14067-2,IR
45,1,14825,R
83,1,14816,R
84,1,14018,R
85,1,14553,R
86,1,14367-2,R
61,1,14364,R
44,1,14717,R
73,1,14500,R
72,1,14420,R
87,17,14089-2,IR
88,1,14736,R
89,1,14740,R
48,1,14320,R
90,1,14425,R
91,1,14012,R
70,1,14802,R
92,1,14803,R
71,1,14033,R
47,20,14981,R
93,1,14392,R
94,1,14393,R
72,1,14426,R
75,1,14542,R
92,1,14801,R
95,1,14507,R
96,1,14326,R
60,1,14731,R
88,1,14730,R
83,1,14818,R
97,1,14389,R
66,1,14980,R
98,1,14390,R
99,1,14450,R
100,1,14844,R
101,1,14734,R
102,1,14445,R
100,1,14840,R
103,1,14438,R
44,1,14711,R
104,1,14452,R
105,16,18260,R
106,1,14758,R
72,1,14422,R
107,1,14549,R
108,1,14312,R
109,1,14607,R
98,1,14384,R
45,1,14821,R
107,1,18235,R
110,1,14708,R
111,21,14068,IR
70,1,14810,R
112,1,14676,R
67,1,14509,R
43,1,14700,R
53,1,14303,R
113,1,14606,R
57,1,14449,R
114,1,14317,R
54,1,14296,R
115,1,14601,R
70,1,14808,R
116,1,14845,R
75,1,14544,R
70,1,14804,R
112,1,14670,R
61,1,14360,R
96,1,14318,R
117,1,14605,R
116,1,14851,R
70,1,14800,R
118,1,14850,R
90,1,14421,R
64,1,14757,R
119,1,14386,R
107,1,14545,R
53,1,14307,R
120,1,14394,R
121,1,14602,R
92,1,14805,R
122,1,14499,R
123,1,14841,R
124,22,14065,IR
54,1,14300,R
125,1,14295,R
44,1,14703,R
104,1,14440,R
89,1,14738,R
126,1,14442,R
86,1,18231-2,R
44,1,14707,R
86,1,14359-2,R
53,1,14305,R
90,1,14427,R
66,1,14970,R
127,1,14610,R
62,1,14673-2,R
103,1,14448,R
86,1,14365-2,R
128,1,14379,R
83,1,14820,R
53,1,14297,R
92,1,14811,R
129,1,14362,R
64,1,14761,R
117,1,14611,R
67,1,14515,R
130,1,14020,R
66,1,14984,R
61,1,14368,R
129,1,14366,R
112,1,14674,R
131,1,14380,R
90,1,14429,R
89,1,14732,R
76,1,14827,R
132,1,18251,R
133,1,14387,R
134,1,14319,R
71,1,14031,R
44,1,14715,R
86,1,14363-2,R
135,1,14316,R
136,1,14603,R
98,1,18234,R
45,1,14819,R
71,1,14037,R
60,1,14733,R
137,1,14814,R
73,1,14514,R
138,23,14064-1,IR
139,1,14017,R
137,1,14812,R
81,1,14314,R
140,1,14849,R
53,1,14299,R
77,1,14315,R
141,1,14737,R
82,1,14069-2,IR
106,1,14756,R
142,1,14032,R
47,1,14987,R
45,1,14823,R
47,1,14979,R
73,1,14510,R
121,1,14608,R
66,1,14982,R
112,1,14672,R
45,1,14815,R
75,1,14540,R
75,1,14546,R
44,1,14705,R
135,1,14324,R
106,1,14754,R
66,1,14976,R
143,16,18261-2,R
92,1,14807,R
47,1,14983,R
86,1,14361-2,R
140,1,14847,R
54,1,14308,R
43,1,14704,R
43,1,14702,R
107,1,14543,R
144,1,14613,R
83,1,14822,R
73,1,14506,R
73,1,14504,R
64,1,14753,R
107,1,14547,R
130,1,18250,R
106,1,14752,R
130,1,14016,R
106,1,14750,R
47,1,14977,R
64,1,14751,R
64,1,14755,R
106,1,14760,R
145,1,14843,R
43,1,14716,R
90,1,14419,R
54,1,14304,R
85,24,14555,R
146,1,14343,R
142,1,14038,R
142,1,14034,R
47,1,14975,R
147,1,14842,R
148,1,14325,R
147,1,14848,R
142,1,14036,R
95,1,18237,R
43,1,14710,R
66,1,14974,R
139,1,14011,R
132,1,14013,R
51,24,14550,R
47,1,14973,R
83,1,14824,R
92,1,14809,R
61,1,14358,R
77,1,14321,R
66,1,14978,R
57,1,14447,R
43,1,14714,R
149,25,2872,R
150,1,9473,R
151,1,9008,R
152,26,9403,R
153,1,8652,R
154,1,5056,R
155,1,4205,R
156,1,4206-1,R
157,27,4303,R
158,1,4335,R
159,26,4331,R
160,28,4074,R
161,29,4361,R
162,14,4308,R
163,1,3112,R
164,1,5424,R
165,1,5506,R
166,1,5101,R
167,1,5110,R
168,1,7569,R
169,1,9471,R
170,1,1590,IR
171,1,9477,R
172,1,9476,R
173,1,36313,R
173,1,36329,R
174,30,4084,R
175,31,4321,R
176,29,4322,R
177,1,4452,R
178,1,36326,R
179,14,4340,R
180,1,2611,R
181,1,5303,R
182,1,5213,R
183,1,4083,R
184,32,3620,R
184,14,3628,R
185,1,3629,R
186,14,3627,R
186,33,3637,R
186,1,3635,R
184,14,3622,R
187,14,3640,R
188,14,3641,R
189,27,3646,R
190,1,2344,R
191,20,2047,R
192,1,9576,R
193,1,9556,R
193,1,9552,R
194,26,2436,R
195,14,4045,R
196,14,4046,R
197,14,4375,R
198,14,4376,R
196,14,4382,R
199,1,4539,R
200,1,4532,R
201,34,2423,R
88,26,4584,R
202,1,4135-2,R
203,35,5601,R
204,14,3633,R
205,1,9368,R
206,36,1876,IR
207,1,5007,R
208,1,9343,R
209,30,7373,R
210,1,2569,R
211,1,4362,R
206,26,1874,IR
212,37,4414,R
192,1,9578,R
213,1,6503,R
214,1,4544,R
215,1,2142,R
216,38,1593,IR
217,1,9446,R
218,39,1942,IR
219,1,1588,IR
220,1,8151,R
208,20,9345,R
221,40,8804,R
222,1,3074,R
223,1,7362,R
224,1,37656,R
225,1,1746-1,IR
226,1,7575,R
227,20,13604,R
228,1,5022,R
229,41,5740,R
230,42,4104,R
231,1,2415,R
177,1,4454,R
232,1,346-1,IR
233,1,2031,R
234,1,5406-1,R
235,1,3014,R
236,1,1819,IR
237,20,6502,R
238,43,9553,R
239,1,9666,R
240,1,363-2,IR
241,20,2421,R
242,44,1999,IR
243,1,8580,R
244,45,8390,R
214,1,4546,R
245,1,2203,R
246,1,8124,R
247,46,4525,R
248,1,5408-1,R
249,1,3010,R
250,14,4108,R
251,1,4653,R
252,1,4334,R
253,14,3623,R
254,1,7031,R
255,1,79-2,IR
256,33,2085,R
257,1,1832,IR
258,20,9346,R
259,1,1643,IR
260,1,9584,R
261,1,1572,IR
262,1,7032,R
263,45,8383,R
264,1,9358,R
265,40,8807,R
266,26,5501,R
165,20,5504,R
267,47,2724,R
268,48,1095,IR
269,1,7686-1,R
270,14,4311,R
244,49,8382,R
271,20,9443,R
272,1,9301,R
273,1,12831-2,IR
274,1,5521,R
163,1,3116,R
275,1,9165,R
276,1,4511,R
277,1,5723,R
278,1,8579,R
279,1,8655,R
280,50,4705,R
281,1,9168,R
282,51,2235,R
283,1,1667,IR
284,52,1695,IR
285,1,1781,IR
286,1,1831-2,IR
287,25,2873,R
219,1,1582,IR
288,1,9003,R
88,26,4580,R
289,40,8806,R
290,25,9135,R
291,53,12062,IR
292,26,9485,R
293,1,6412,R
294,1,9613,R
295,1,9351,R
296,1,5631,R
297,54,1995-2,IR
265,55,8371,R
298,1,469,IR
299,1,5207,R
179,1,4342,R
300,56,3080,R
301,1,1723,IR
302,1,9383,R
303,1,13383,R
304,1,9610,R
305,1,9109,R
306,57,8691,R
307,1,4545,R
196,1,4042,R
308,1,9593,R
309,1,9580,R
310,1,3013,R
311,58,4310,R
312,1,1773,IR
238,59,9555,R
313,1,5565-2,R
314,1,4082,R
315,1,2311,R
316,25,5720,R
317,1,1792,IR
318,1,1875,IR
319,1,6812,R
320,45,1861-2,IR
321,38,8387,R
217,1,9440,R
322,1,1691,IR
323,1,5711,R
324,1,13372,R
325,1,3005,R
326,1,9022,R
327,1,3089,R
328,55,1986,IR
329,1,7040,R
330,1,2027,R
331,26,2492,R
299,1,5201,R
332,1,1521,IR
333,60,8221,R
334,1,7584,R
335,1,2039-2,R
336,1,3007,R
337,1,5311,R
217,20,9442,R
338,40,1953-2,IR
339,1,8586,R
340,1,4701,R
244,61,8392,R
341,20,2502,R
342,1,8444,R
343,1,9436,R
344,1,4520,R
345,1,9611,R
305,1,9437,R
346,62,8038,R
313,1,5563-2,R
347,1,3072,R
348,16,13513-2,R
349,1,3535,R
350,1,2602,R
351,63,2700,R
275,1,9159,R
352,64,4314,R
353,45,1821-2,IR
354,65,1992,IR
355,16,13403,R
356,1,4411,R
357,1,2182,R
358,1,2044,R
359,66,8395,R
350,1,2608,R
360,1,5520,R
361,1,9530,R
362,1,2567,R
363,1,1538,IR
364,30,3076,R
365,1,9063,R
366,30,4085-2,R
307,1,4543,R
367,26,9480,R
368,1,9024,R
369,20,7401,R
370,33,2088,R
371,26,3514,R
372,1,2233,R
373,1,9575,R
374,30,9347,R
375,1,1384-1,R
376,30,5454,R
377,1,4501,R
378,1,5209,R
379,1,1754,IR
380,1,5107,R
381,1,9475,R
258,20,9344,R
382,20,5026,R
383,60,9696,R
384,1,2713,R
385,40,8025,R
386,1,6313,R
387,1,3023,R
304,1,9624,R
388,1,12863-2,IR
217,1,9444,R
389,1,5737,R
390,1,5431,R
349,26,3533,R
391,65,1944-1,IR
392,26,2071,R
393,1,1736,IR
346,61,8034,R
260,1,9590,R
394,1,5002,R
395,1,4531,R
157,14,4301,R
396,1,9388,R
397,1,2312,R
318,1,1873,IR
398,38,1594,IR
399,1,13600,R
400,26,2493,R
274,30,5527,R
294,26,9615,R
313,1,5561-2,R
214,1,4542,R
351,1,2704,R
401,30,7365,R
402,38,8002,R
403,67,9061,R
404,1,1732,IR
405,1,1579,IR
383,68,9694,R
406,1,4146-1,R
407,1,4094,R
352,69,4344,R
408,20,3084,R
237,1,6510,R
409,1,1664,IR
410,26,2491,R
411,1,1811,IR
412,1,1665,IR
413,1,5461,R
285,1,1787,IR
414,70,4365,R
415,20,9504,R
416,71,5468,R
417,36,4517,R
418,1,1836,IR
416,1,5460,R
196,1,4384,R
275,1,9163,R
419,1,4106,R
420,40,1982,IR
421,1,2068,R
199,1,4535,R
422,1,362-1,IR
423,38,1584,IR
315,1,2307,R
424,1,1621,IR
425,1,1541,IR
303,1,2183,R
246,1,8122,R
196,1,4092,R
426,1,1630,IR
427,30,2063,R
274,1,5529,R
245,30,2215,R
428,72,1984,IR
